"doi","Title","Abstract","Keywords","Journal","text_combined"
"""10.4007/annals.2023.198.3.4""","""Characterizing finitely generated fields by a single field axiom""","""We resolve the strong Elementary Equivalence versus Isomorphism Problem for finitely generated fields. That is, we show that for every field in this class, there is a first-order sentence that characterizes this field within the class up to isomorphism. Our solution is conditional on resolution of singularities in characteristic two and unconditional in all other characteristics.""","""elementary equivalence versus isomorphism"", ""finitely generated fields"", ""first-order definability of valuations"", ""higher-dimensional cohomological local-global principles"", ""Pfister forms""","AOM","""Characterizing finitely generated fields by a single field axiom""""We resolve the strong Elementary Equivalence versus Isomorphism Problem for finitely generated fields. That is, we show that for every field in this class, there is a first-order sentence that characterizes this field within the class up to isomorphism. Our solution is conditional on resolution of singularities in characteristic two and unconditional in all other characteristics.""""elementary equivalence versus isomorphism"", ""finitely generated fields"", ""first-order definability of valuations"", ""higher-dimensional cohomological local-global principles"", ""Pfister forms"""
"""10.4007/annals.2023.198.3.6""","""Wreath-like products of groups and their von Neumann algebras I: W^∗-superrigidity""","""We introduce a new class of groups called wreath-like products. These groups are close relatives of the classical wreath products and arise naturally in the context of group theoretic Dehn filling. Unlike ordinary wreath products, many wreath-like products have Kazhdan's property (T). In this paper, we prove that any group $G$ in a natural family of wreath-like products with property (T) is $\\mathrm{W}^\\ast$-superrigid: the group von Neumann algebra $\\mathrm{L}(G)$ remembers the isomorphism class of $G$. This allows us to provide the first examples (in fact, $2^{\\aleph_0}$ pairwise non-isomorphic examples) of $\\mathrm{W}^\\ast$-superrigid groups with property (T).""","""$\\mathrm{II} 1$ factor"", ""$\\mathrm{W}^\\ast$-superrigidity"", ""Connes' rigidity conjecture"", ""deformation/rigidity theory"", ""group theoretic Dehn Filling"", ""group von Neumann algebra"", ""hyperbolic groups"", ""property (T)"", ""wreath-like product groups""","AOM","""Wreath-like products of groups and their von Neumann algebras I: W^∗-superrigidity""""We introduce a new class of groups called wreath-like products. These groups are close relatives of the classical wreath products and arise naturally in the context of group theoretic Dehn filling. Unlike ordinary wreath products, many wreath-like products have Kazhdan's property (T). In this paper, we prove that any group $G$ in a natural family of wreath-like products with property (T) is $\\mathrm{W}^\\ast$-superrigid: the group von Neumann algebra $\\mathrm{L}(G)$ remembers the isomorphism class of $G$. This allows us to provide the first examples (in fact, $2^{\\aleph_0}$ pairwise non-isomorphic examples) of $\\mathrm{W}^\\ast$-superrigid groups with property (T).""""$\\mathrm{II} 1$ factor"", ""$\\mathrm{W}^\\ast$-superrigidity"", ""Connes' rigidity conjecture"", ""deformation/rigidity theory"", ""group theoretic Dehn Filling"", ""group von Neumann algebra"", ""hyperbolic groups"", ""property (T)"", ""wreath-like product groups"""
"""10.4007/annals.2023.198.3.3""","""Statistical dynamics of a hard sphere gas: fluctuating Boltzmann equation and large deviations""","""We present a mathematical theory of dynamical fluctuations for the hard sphere gas in the Boltzmann-Grad limit. We prove that (1) fluctuations of the empirical measure from the solution of the Boltzmann equation, scaled with the square root of the average number of particles, converge to a Gaussian process driven by the fluctuating Boltzmann equation, as predicted by Spohn; (2) large deviations are exponentially small in the average number of particles and are characterized, under regularity assumptions, by a large deviation functional as previously obtained by Rezakhanlou for dynamics with stochastic collisions. The results are valid away from thermal equilibrium, but only for short times. Our strategy is based on uniform a priori bounds on the cumulant generating function, characterizing the fine structure of the small correlations.""","""Boltzmann equation"", ""cluster expansion"", ""Fluctuations"", ""hard sphere gas"", ""large deviations"", ""low density limit""","AOM","""Statistical dynamics of a hard sphere gas: fluctuating Boltzmann equation and large deviations""""We present a mathematical theory of dynamical fluctuations for the hard sphere gas in the Boltzmann-Grad limit. We prove that (1) fluctuations of the empirical measure from the solution of the Boltzmann equation, scaled with the square root of the average number of particles, converge to a Gaussian process driven by the fluctuating Boltzmann equation, as predicted by Spohn; (2) large deviations are exponentially small in the average number of particles and are characterized, under regularity assumptions, by a large deviation functional as previously obtained by Rezakhanlou for dynamics with stochastic collisions. The results are valid away from thermal equilibrium, but only for short times. Our strategy is based on uniform a priori bounds on the cumulant generating function, characterizing the fine structure of the small correlations.""""Boltzmann equation"", ""cluster expansion"", ""Fluctuations"", ""hard sphere gas"", ""large deviations"", ""low density limit"""
"""10.4007/annals.2023.198.3.5""","""Schur multipliers in Schatten-von Neumann classes""","""We establish a rather unexpected and simple criterion for the boundedness of Schur multipliers $S_M$ on Schatten $p$-classes which solves a conjecture proposed by Mikael de la Salle. Given $1\\lt p\\lt \\infty$, a simple form of our main result for $\\mathbf{R}^n \\times \\mathbf{R}^n$ matrices reads as follows: $$\\big\\| S_M \\colon S_p \\to S_p \\big\\|_{\\mathrm{cb}} \\lesssim \\frac{p^2}{p-1} \\sum_{|\\gamma| \\le [\\frac{n}{2}] +1} \\Big\\| |x-y|^{|\\gamma|} \\Big\\{ \\big| \\partial_x^\\gamma M(x,y) \\big| + \\big| \\partial_y^\\gamma M(x,y) \\big| \\Big\\} \\Big\\|_\\infty.$$ In this form, it is a full matrix (nonToeplitz/nontrigonometric) amplification of the Hörmander-Mikhlin multiplier theorem, which admits lower fractional differentiability orders $\\sigma > \\frac{n}{2}$ as well. It trivially includes Arazy's conjecture for $S_p$-multipliers and extends it to $\\alpha$-divided differences. It also leads to new Littlewood-Paley characterizations of $S_p$-norms and strong applications in harmonic analysis for nilpotent and high rank simple Lie group algebras.""","""Hörmander-Mikhlin theorem"", ""noncommutative Calderón-Zygmund theory"", ""Schatten classes"", ""Schur multiplier""","AOM","""Schur multipliers in Schatten-von Neumann classes""""We establish a rather unexpected and simple criterion for the boundedness of Schur multipliers $S_M$ on Schatten $p$-classes which solves a conjecture proposed by Mikael de la Salle. Given $1\\lt p\\lt \\infty$, a simple form of our main result for $\\mathbf{R}^n \\times \\mathbf{R}^n$ matrices reads as follows: $$\\big\\| S_M \\colon S_p \\to S_p \\big\\|_{\\mathrm{cb}} \\lesssim \\frac{p^2}{p-1} \\sum_{|\\gamma| \\le [\\frac{n}{2}] +1} \\Big\\| |x-y|^{|\\gamma|} \\Big\\{ \\big| \\partial_x^\\gamma M(x,y) \\big| + \\big| \\partial_y^\\gamma M(x,y) \\big| \\Big\\} \\Big\\|_\\infty.$$ In this form, it is a full matrix (nonToeplitz/nontrigonometric) amplification of the Hörmander-Mikhlin multiplier theorem, which admits lower fractional differentiability orders $\\sigma > \\frac{n}{2}$ as well. It trivially includes Arazy's conjecture for $S_p$-multipliers and extends it to $\\alpha$-divided differences. It also leads to new Littlewood-Paley characterizations of $S_p$-norms and strong applications in harmonic analysis for nilpotent and high rank simple Lie group algebras.""""Hörmander-Mikhlin theorem"", ""noncommutative Calderón-Zygmund theory"", ""Schatten classes"", ""Schur multiplier"""
"""10.4007/annals.2023.198.3.1""","""Universality for lozenge tiling local statistics""","""In this paper we consider uniformly random lozenge tilings of arbitrary domains approximating (after suitable normalization) a closed, simply-connected subset of $\\mathbb{R}^2$ with piecewise smooth, simple boundary. We show that the local statistics of this model around any point in the liquid region of its limit shape are given by the infinite-volume, translation-invariant, extremal Gibbs measure of the appropriate slope, thereby confirming a prediction of Cohn-Kenyon-Propp from 2001 in the case of lozenge tilings. Our proofs proceed by locally coupling a uniformly random lozenge tiling with a model of Bernoulli random walks conditioned to never intersect, whose convergence of local statistics has been recently understood by the work of Gorin-Petrov. Central to implementing this procedure is to establish a local law for the random tiling, which states that the associated height function is approximately linear on any mesoscopic scale.""","""boundary conditions"", ""Local law"", ""local statistics"", ""lozenge tilings"", ""non-intersecting random walks"", ""Universality""","AOM","""Universality for lozenge tiling local statistics""""In this paper we consider uniformly random lozenge tilings of arbitrary domains approximating (after suitable normalization) a closed, simply-connected subset of $\\mathbb{R}^2$ with piecewise smooth, simple boundary. We show that the local statistics of this model around any point in the liquid region of its limit shape are given by the infinite-volume, translation-invariant, extremal Gibbs measure of the appropriate slope, thereby confirming a prediction of Cohn-Kenyon-Propp from 2001 in the case of lozenge tilings. Our proofs proceed by locally coupling a uniformly random lozenge tiling with a model of Bernoulli random walks conditioned to never intersect, whose convergence of local statistics has been recently understood by the work of Gorin-Petrov. Central to implementing this procedure is to establish a local law for the random tiling, which states that the associated height function is approximately linear on any mesoscopic scale.""""boundary conditions"", ""Local law"", ""local statistics"", ""lozenge tilings"", ""non-intersecting random walks"", ""Universality"""
"""10.4007/annals.2023.198.3.7""","""Retraction: \""Quasi-projectivity of moduli spaces of polarized varieties\""""","""In his article [1] János Kollár has published a counterexample to the main result Theorem~1 of the paper [2]. The critical point is that in general the positive curvature current of the singular hermitian metric on the constructed holomorphic line bundle does not have vanishing Lelong numbers (cf. Theorem 4 and Theorem 5) as claimed. Consequently the quasi-projectivity criterion of the paper cannot be applied.""","","AOM","""Retraction: \""Quasi-projectivity of moduli spaces of polarized varieties\""""""In his article [1] János Kollár has published a counterexample to the main result Theorem~1 of the paper [2]. The critical point is that in general the positive curvature current of the singular hermitian metric on the constructed holomorphic line bundle does not have vanishing Lelong numbers (cf. Theorem 4 and Theorem 5) as claimed. Consequently the quasi-projectivity criterion of the paper cannot be applied."""
"""10.4007/annals.2023.198.3.2""","""Regularity of minimal surfaces near quadratic cones""","""Hardt-Simon proved that every area-minimizing hypercone $\\mathbf{C}$ having only an isolated singularity fits into a foliation of $\\mathbb{R}^{n+1}$ by smooth, area-minimizing hypersurfaces asymptotic to $\\mathbf{C}$. In this paper we prove that if a stationary integral $n$-varifold $M$ in the unit ball $B_1 \\subset \\mathbb{R}^{n+1}$ lies sufficiently close to a minimizing quadratic cone (for example, the Simons' cone $\\mathbf{C}^{3,3}$), then $\\mathrm{spt}\\, M \\cap B_{1/2}$ is a $C^{1,\\alpha}$ perturbation of either the cone itself, or some leaf of its associated foliation. In particular, we show that singularities modeled on these cones determine the local structure not only of $M$, but of any nearby minimal surface. Our result also implies the Bernstein-type result of Simon-Solomon, which characterizes area-minimizing hypersurfaces asymptotic to a quadratic cone as either the cone itself, or some leaf of the foliation.""","""Foliation"", ""minimal surface"", ""quadratic cone"", ""regularity""","AOM","""Regularity of minimal surfaces near quadratic cones""""Hardt-Simon proved that every area-minimizing hypercone $\\mathbf{C}$ having only an isolated singularity fits into a foliation of $\\mathbb{R}^{n+1}$ by smooth, area-minimizing hypersurfaces asymptotic to $\\mathbf{C}$. In this paper we prove that if a stationary integral $n$-varifold $M$ in the unit ball $B_1 \\subset \\mathbb{R}^{n+1}$ lies sufficiently close to a minimizing quadratic cone (for example, the Simons' cone $\\mathbf{C}^{3,3}$), then $\\mathrm{spt}\\, M \\cap B_{1/2}$ is a $C^{1,\\alpha}$ perturbation of either the cone itself, or some leaf of its associated foliation. In particular, we show that singularities modeled on these cones determine the local structure not only of $M$, but of any nearby minimal surface. Our result also implies the Bernstein-type result of Simon-Solomon, which characterizes area-minimizing hypersurfaces asymptotic to a quadratic cone as either the cone itself, or some leaf of the foliation.""""Foliation"", ""minimal surface"", ""quadratic cone"", ""regularity"""
"""10.4007/annals.2023.198.2.3""","""Parabolicity conjecture of $F$-isocrystals""","""In this article we prove Crew's parabolicity conjecture of $F$-isocrystals. For this purpose, we introduce and study the notion of $\\dagger$-hull of a sub-$F$-isocrystal. On the way, we prove a new Lefschetz theorem for overconvergent $F$-isocrystals.""","""$F$-isocrystal"", ""monodromy group"", ""slope""","AOM","""Parabolicity conjecture of $F$-isocrystals""""In this article we prove Crew's parabolicity conjecture of $F$-isocrystals. For this purpose, we introduce and study the notion of $\\dagger$-hull of a sub-$F$-isocrystal. On the way, we prove a new Lefschetz theorem for overconvergent $F$-isocrystals.""""$F$-isocrystal"", ""monodromy group"", ""slope"""
"""10.4007/annals.2023.198.2.8""","""Erratum to \""On the averaged Colmez conjecture\""""","""We will fix an error in our paper on the average Colmez conjecture by proving a slightly weaker statement than Theorem 2.7, which is sufficient for application to the main results.""","""Colmez conjecture"", ""Complex Multiplication"", ""Faltings height""","AOM","""Erratum to \""On the averaged Colmez conjecture\""""""We will fix an error in our paper on the average Colmez conjecture by proving a slightly weaker statement than Theorem 2.7, which is sufficient for application to the main results.""""Colmez conjecture"", ""Complex Multiplication"", ""Faltings height"""
"""10.4007/annals.2023.198.2.4""","""High rank invariant subvarieties""","""We classify $\\mathrm{GL}(2,\\mathbb{R})$ orbit closures of translation surfaces of rank at least half the genus plus $1$.""","""Abelian differential"", ""invariant subvariety"", ""moduli space"", ""orbit closure"", ""‎rank‎"", ""translation surface""","AOM","""High rank invariant subvarieties""""We classify $\\mathrm{GL}(2,\\mathbb{R})$ orbit closures of translation surfaces of rank at least half the genus plus $1$.""""Abelian differential"", ""invariant subvariety"", ""moduli space"", ""orbit closure"", ""‎rank‎"", ""translation surface"""
